run,temperature,latency_ms,tags,summary
1,0.7,88125.94,Restaurant Inspection | Local Business | Web Application,Local restaurant inspection submission and review web application.
2,0.7,50916.08,restaurant inspections | local government | web application,Web app for local restaurant inspection submissions and reviews
3,0.7,52985.05,restaurant inspections | local government | restaurant management,Tool for submitting and reviewing restaurant inspection data and information
4,0.7,47625.96,Restaurant Inspection | Local Restaurant | Web Application,Online platform for managing local restaurant inspection findings
5,0.7,53580.37,restaurant inspection | local restaurant | food safety,Web app for local restaurant inspection submissions and reviews with restaurant details and inspection categories
6,0.7,49614.18,restaurant inspections | local restaurant | food safety,Web application for submitting and reviewing local restaurant inspection findings
7,0.7,49080.55,restaurant inspections | local restaurant | restaurant review,Web app for local restaurant inspection submissions and reviews
8,0.7,48085.86,Restaurant Inspections | Web Applications | Local Government,Restaurant inspection management online system for local government and public review
9,0.7,49266.41,restaurant inspection | local restaurant | inspection report,Web app for local restaurant inspection submissions and reviews
10,0.7,48270.39,Restaurant Inspections | Web Application | Local Government,Submit and review local restaurant inspection findings online
11,0.7,47090.21,Restaurant Inspection | Local Government | Web Application,Submitting and reviewing local restaurant inspection findings online
12,0.7,52611.42,Restaurant Inspections | Local Government | Inspections,Web application for submitting and reviewing local restaurant inspection findings and ratings.
13,0.7,49589.79,restaurant inspections | local restaurant inspections | reviews,Submitting and reviewing local restaurant inspection findings and ratings
14,0.7,51953.24,restaurant inspections | local government | restaurant management,Web app for local restaurant inspection submissions and reviews
15,0.7,51762.05,Restaurant Inspections | Local Restaurant | Inspections and Reviews,Platform for local restaurant inspection submissions and reviews
16,0.7,54182.21,Local Restaurant Inspections | Restaurant Inspections | Restaurant Inspection Data,Restaurant inspection data management system for local authorities
17,0.7,50428.39,restaurant inspection | local government | web application,Web application for local restaurant inspection submissions and reviews
18,0.7,49594.88,restaurant inspections | local restaurant | restaurant management,Web app for local restaurant inspection submissions and reviews
19,0.7,50895.2,Restaurant Inspection | Local Restaurant | Web Application,Platform for local restaurant inspection and review with detailed information
20,0.7,50607.22,restaurant inspections | local restaurants | restaurant management,Web application for local restaurant inspection submissions and reviews
1,0.0,48256.51,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
2,0.0,42910.23,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
3,0.0,43079.17,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
4,0.0,42944.3,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
5,0.0,43319.65,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
6,0.0,42972.51,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
7,0.0,42955.94,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
8,0.0,43715.73,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
9,0.0,42911.9,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
10,0.0,42910.83,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
11,0.0,43582.27,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
12,0.0,42907.46,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
13,0.0,42909.33,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
14,0.0,43093.56,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
15,0.0,42903.35,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
16,0.0,42911.91,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
17,0.0,43281.38,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
18,0.0,43255.5,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
19,0.0,43081.2,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
20,0.0,43084.77,restaurant inspections | local government | food safety,Web app for local restaurant inspection submissions and reviews
